A_1	Z	1
A_1	B_1	1
A_1	C_1	1
A_2	Z_1	1
A_2	T_1	1
A_3	E_4	1
A_3	B_3	1
A_4	Z_3	1
A_4	O_9	1
A_4	F_4	1
A_5	B_5	1
A_5	Z_4	1
A_6	Z_5	1
A_7	N_6	1
A_7	F_7	1
A_7	R_7	1
A_8	B_8	1
A_8	N_8	1
A_8	R_8	1
A_9	T_7	1
A_{10}	B_{10}	1
A_{11}	V_{10}	1
A_{11}	E_{11}	1
B_1	C_1	1
B_1	S_{10}	1
B_3	Q_{10}	1
B_3	C_3	1
B_4	C_4	1
B_5	C_5	1
B_6	C_6	1
B_6	A_6	1
B_6	W_5	1
B_7	O_6	1
B_7	A_7	1
B_8	W_7	1
B_9	A_9	1
B_{10}	V_{10}	1
B_{11}	A_{11}	1
B_{12}	C_{12}	1
C	F	1
C_1	D_1	1
C_2	P_1	1
C_2	A_2	1
C_2	M	1
C_2	F_{11}	1
C_3	A_3	1
C_3	G_3	1
C_4	H_8	1
C_7	B_7	1
C_8	D_8	1
C_9	K_9	1
C_{10}	G_{10}	1
C_{10}	B_{10}	1
C_{10}	I_{10}	1
C_{10}	C_{11}	1
C_{11}	B_{11}	1
C_{11}	V_{11}	1
C_{11}	D_{11}	1
D	J	1
D	C	1
D	E	1
D_2	E_2	1
D_4	M_8	1
D_4	C_4	1
D_4	R_3	1
D_6	G_6	1
D_7	E_7	1
D_7	J_7	1
D_7	H_7	1
D_8	M_7	1
D_8	E_8	1
D_9	C_9	1
D_9	T_7	1
D_9	J_9	1
D_{11}	P_{11}	1
D_{12}	E_{12}	1
D_{12}	Z_{11}	1
E	C	1
E_1	J_1	1
E_1	D_1	1
E_1	B_1	1
E_2	S_1	1
E_4	A_4	1
E_4	W_3	1
E_4	F_4	1
E_5	A_5	1
E_6	D_6	1
E_6	D_7	1
E_7	F_6	1
E_8	F_8	1
E_8	C_8	1
E_9	D_9	1
E_{10}	C_{10}	1
E_{10}	D_{10}	1
E_{11}	I_{11}	1
E_{11}	F_{11}	1
E_{11}	D_{11}	1
F	G	1
F_1	I_1	1
F_1	G_1	1
F_1	E_1	1
F_2	W_1	1
F_2	J_3	1
F_3	O_3	1
F_3	Q_3	1
F_4	O_9	1
F_5	E_5	1
F_6	G_6	1
F_7	G_7	1
F_8	H_8	1
F_9	R_8	1
F_9	H_9	1
F_{11}	Z_1	1
F_{11}	G_{11}	1
F_{12}	D_{12}	1
G	O	1
G	H	1
G_1	I_1	1
G_3	F_3	1
G_5	H_5	1
G_5	F_5	1
G_6	H_6	1
G_7	D_7	1
G_7	Q_7	1
G_8	E_8	1
G_8	Z_7	1
G_{10}	C_{11}	1
G_{11}	H_{11}	1
G_{12}	C_2	1
H	E	1
H	N	1
H_1	R_2	1
H_1	Q_2	1
H_1	G_1	1
H_2	I_2	1
H_3	J_3	1
H_4	G_4	1
H_6	I_6	1
H_7	E_6	1
H_7	I_7	1
H_7	V_5	1
H_8	O_4	1
H_9	R_8	1
H_9	I_9	1
H_9	P_8	1
H_{10}	G_{10}	1
H_{11}	L_{11}	1
H_{12}	G_{12}	1
I	U	1
I_1	J_1	1
I_1	H_1	1
I_2	H_3	1
I_3	G_3	1
I_4	H_4	1
I_4	A_4	1
I_5	H_5	1
I_6	E_7	1
I_6	K_6	1
I_7	J_7	1
I_7	O_7	1
I_9	S_9	1
I_9	N_9	1
I_{10}	L_{10}	1
I_{11}	L_{11}	1
I_{12}	H_{12}	1
J	M	1
J	I	1
J_1	P_2	1
J_1	K_1	1
J_4	K_4	1
J_4	I_4	1
J_4	O_9	1
J_5	I_5	1
J_7	G_7	1
J_9	I_9	1
J_9	M_9	1
J_9	F_9	1
K	J	1
K_1	S_{10}	1
K_2	G_3	1
K_2	W_1	1
K_2	L_2	1
K_3	F_2	1
K_4	L_4	1
K_4	O_9	1
K_4	H_4	1
K_5	L_5	1
K_5	J_5	1
K_6	J_6	1
K_6	M_6	1
K_7	L_7	1
K_7	N_7	1
K_8	G_8	1
K_8	K_7	1
K_9	D_9	1
K_9	L_9	1
K_{10}	I_{10}	1
K_{10}	C_{11}	1
K_{10}	L_{10}	1
K_{11}	M_{11}	1
L	K	1
L_1	O_1	1
L_1	M_1	1
L_2	M_2	1
L_2	G_3	1
L_3	V_9	1
L_3	M_3	1
L_3	K_3	1
L_4	S_4	1
L_4	N_4	1
L_4	O_9	1
L_4	V_4	1
L_5	M_5	1
L_5	F_5	1
L_5	W_4	1
L_6	K_6	1
L_7	U_5	1
L_8	K_8	1
L_8	M_8	1
L_8	O_8	1
L_9	J_9	1
L_{10}	M_{10}	1
L_{11}	N_{11}	1
L_{11}	M_{11}	1
M	W	1
M_1	O_1	1
M_1	U_{10}	1
M_3	J_3	1
M_4	L_4	1
M_5	O_5	1
M_6	N_6	1
M_7	R_5	1
M_9	A_{10}	1
