0	3	2
1	7	2
1	0	2
1	2	2
2	0	2
3	4	2
4	12	2
4	5	2
5	2	2
5	11	2
6	17	2
7	10	2
7	6	2
8	7	2
9	8	2
10	19	2
11	12	2
11	6	2
11	20	2
13	4	2
14	15	2
15	32	2
16	32	2
16	11	2
17	10	2
17	16	2
18	45	2
18	264	2
19	18	2
20	33	2
21	20	2
21	22	2
21	23	2
22	23	2
22	228	2
23	24	2
25	30	2
25	24	2
25	22	2
26	29	2
26	27	2
26	25	2
27	29	2
28	57	2
28	56	2
28	27	2
29	30	2
29	28	2
30	55	2
30	31	2
31	228	2
32	34	2
32	33	2
33	34	2
33	230	2
34	36	2
34	46	2
34	16	2
35	37	2
35	36	2
35	17	2
36	46	2
37	46	2
37	45	2
38	33	2
39	46	2
39	45	2
40	46	2
40	41	2
40	39	2
40	42	2
41	46	2
42	49	2
42	41	2
43	48	2
43	40	2
44	43	2
44	39	2
45	35	2
45	44	2
45	10	2
45	238	2
46	47	2
47	38	2
48	42	2
48	71	2
49	50	2
50	69	2
51	68	2
51	42	2
51	52	2
52	53	2
52	68	2
54	53	2
55	225	2
55	59	2
56	55	2
56	58	2
58	57	2
59	60	2
59	58	2
60	225	2
61	60	2
61	63	2
63	64	2
63	62	2
64	90	2
64	65	2
65	226	2
65	66	2
66	64	2
66	68	2
67	76	2
67	78	2
68	67	2
69	71	2
70	68	2
72	48	2
73	210	2
73	74	2
73	72	2
74	71	2
75	71	2
75	206	2
75	210	2
76	78	2
76	75	2
76	77	2
77	80	2
78	79	2
78	70	2
78	81	2
79	80	2
80	89	2
80	187	2
81	65	2
82	81	2
83	85	2
83	82	2
83	79	2
84	66	2
84	81	2
84	82	2
85	87	2
85	84	2
86	85	2
86	204	2
86	91	2
87	88	2
88	181	2
89	184	2
89	88	2
89	79	2
90	86	2
90	84	2
90	91	2
91	204	2
93	92	2
94	93	2
94	86	2
95	96	2
95	94	2
95	204	2
96	97	2
96	204	2
96	93	2
97	103	2
97	99	2
97	204	2
97	106	2
98	97	2
99	101	2
100	101	2
100	204	2
101	176	2
102	176	2
103	106	2
103	98	2
104	176	2
104	124	2
105	103	2
106	119	2
106	102	2
107	106	2
108	107	2
109	110	2
109	108	2
110	111	2
112	109	2
113	112	2
114	115	2
114	113	2
116	115	2
117	116	2
118	119	2
118	117	2
119	120	2
119	113	2
119	107	2
120	122	2
121	118	2
122	123	2
122	121	2
123	120	2
124	123	2
124	105	2
125	122	2
126	163	2
126	125	2
126	129	2
126	164	2
127	126	2
128	127	2
129	128	2
130	136	2
130	129	2
131	130	2
132	131	2
133	134	2
133	132	2
133	130	2
135	138	2
136	135	2
136	155	2
137	138	2
138	139	2
139	140	2
140	156	2
140	142	2
142	141	2
142	144	2
143	142	2
144	145	2
145	155	2
146	145	2
146	170	2
146	143	2
147	146	2
147	148	2
148	149	2
148	143	2
148	170	2
149	150	2
151	170	2
151	148	2
152	145	2
152	157	2
152	168	2
153	146	2
153	152	2
154	153	2
155	156	2
155	161	2
155	159	2
156	137	2
157	158	2
158	155	2
158	167	2
159	136	2
159	160	2
159	129	2
160	161	2
160	166	2
161	158	2
162	163	2
162	165	2
163	128	2
164	125	2
165	178	2
165	164	2
166	172	2
166	165	2
167	175	2
168	171	2
169	189	2
170	154	2
170	169	2
171	153	2
172	173	2
173	174	2
174	175	2
174	185	2
174	188	2
175	172	2
176	177	2
177	164	2
177	178	2
178	179	2
178	176	2
179	181	2
180	178	2
180	173	2
181	100	2
182	180	2
182	162	2
183	182	2
183	184	2
183	186	2
185	183	2
186	188	2
187	186	2
188	175	2
188	189	2
189	171	2
189	175	2
189	190	2
190	170	2
190	188	2
190	195	2
190	196	2
190	198	2
191	170	2
192	191	2
193	200	2
194	193	2
194	170	2
194	199	2
195	194	2
196	188	2
196	197	2
197	188	2
197	198	2
197	187	2
198	208	2
198	203	2
199	198	2
199	202	2
199	196	2
200	194	2
200	201	2
201	199	2
202	213	2
203	199	2
203	214	2
203	211	2
204	87	2
205	198	2
206	188	2
206	205	2
206	207	2
206	74	2
207	76	2
209	206	2
210	208	2
210	209	2
210	74	2
210	232	2
211	198	2
211	210	2
211	231	2
212	213	2
213	214	2
214	231	2
215	218	2
215	214	2
215	220	2
215	235	2
217	215	2
217	216	2
218	235	2
219	218	2
220	222	2
221	220	2
221	235	2
221	222	2
222	223	2
223	224	2
224	261	2
225	63	2
225	226	2
226	54	2
226	31	2
227	31	2
227	54	2
227	229	2
228	227	2
229	41	2
230	229	2
230	52	2
231	219	2
232	48	2
232	238	2
232	233	2
233	231	2
233	237	2
234	233	2
235	234	2
235	253	2
235	236	2
236	247	2
237	241	2
237	238	2
237	236	2
238	43	2
238	239	2
239	240	2
240	243	2
241	243	2
242	244	2
243	245	2
243	244	2
244	250	2
245	44	2
246	243	2
246	45	2
247	238	2
248	247	2
248	249	2
249	242	2
250	242	2
250	249	2
251	235	2
251	247	2
253	252	2
254	235	2
255	258	2
255	256	2
255	254	2
257	258	2
259	260	2
259	255	2
261	259	2
262	45	2
263	262	2
264	263	2
